Team,Year,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics,1993-94,82,32,50,242.7,40.6,86.1,0.472,1.7,5.8,0.289,39,80.2,0.486,17.8,24.4,0.73,12.6,29,41.7,23.5,8.2,5.4,15.1,22.5,100.8
Los Angeles Lakers,1993-94,82,33,49,240.9,40.1,89.2,0.45,2.9,9.8,0.3,37.2,79.4,0.468,17.2,24,0.717,15.4,26.9,42.2,24.2,9.2,5.6,14.6,22.9,100.4
Washington Bullets,1993-94,82,24,58,240.3,39,83.2,0.468,2.7,9.1,0.297,36.3,74.2,0.489,19.7,26.4,0.748,13.1,26.7,39.8,22.2,8.5,3.9,17.1,20.9,100.4
Denver Nuggets,1993-94,82,42,40,240.9,38.5,82.7,0.465,2.1,7.3,0.285,36.4,75.4,0.483,21.2,29.5,0.718,13.5,31.2,44.7,21.5,8.3,8.4,17.3,23.5,100.3
San Antonio Spurs,1993-94,82,55,27,241.2,38.8,81.6,0.475,3,8.7,0.349,35.7,72.9,0.49,19.5,26.2,0.742,14.5,31.7,46.2,23.1,6.8,5.5,14.6,20.3,100
New York Knicks,1993-94,82,57,25,240.9,37.8,82.1,0.46,3.9,11.1,0.348,33.9,71.1,0.477,19.1,25.6,0.746,14.3,31,45.3,25.2,9.2,4.7,16.6,24.4,98.5
Philadelphia 76ers,1993-94,82,25,57,241.5,37.8,83.2,0.455,3.9,11.5,0.338,34,71.7,0.474,18.4,25.8,0.714,12.3,29.2,41.5,22.3,8.1,6.4,16.7,18.1,98
Chicago Bulls,1993-94,82,55,27,241.2,39.6,83.1,0.476,2.8,8,0.354,36.7,75.1,0.489,16,22.7,0.705,13.9,29.2,43.1,25.6,9,4.3,15.9,21.3,98
Milwaukee Bucks,1993-94,82,20,62,240.3,37.1,83,0.447,4,12.4,0.325,33.1,70.6,0.469,18.7,26.6,0.702,13.7,26.3,40,23.7,9.8,5,16.4,22.2,96.9
Detroit Pistons,1993-94,82,20,62,240.6,38.6,85.6,0.452,4.4,12.7,0.344,34.3,72.9,0.47,15.3,20.9,0.731,12.5,28.3,40.8,21.5,7.3,3.8,15.1,23.6,96.9
Minnesota Timberwolves,1993-94,82,20,62,240.6,36.4,79.7,0.457,2.2,6.8,0.329,34.2,72.9,0.469,21.7,28.1,0.772,12.1,28.6,40.6,24,7.3,5.4,18,24.6,96.7
Dallas Mavericks,1993-94,82,13,69,240.6,37.3,86.2,0.432,2.9,9.4,0.312,34.3,76.8,0.447,17.7,23.7,0.747,15.5,26.2,41.7,19.9,9.4,3.6,17,24.5,95.1
Orlando Magic,1994-95,82,57,25,243,42.2,84.1,0.502,6.4,17.2,0.37,35.8,66.9,0.535,20.1,30.1,0.669,14,30,44,27.8,8.2,6,15.8,21,110.9
Phoenix Suns,1994-95,82,59,23,241.8,40.9,85,0.482,7.1,19.3,0.369,33.8,65.6,0.515,21.7,28.7,0.756,12.5,29.3,41.8,26.8,8.4,3.8,14.2,22.4,110.6
Seattle SuperSonics,1994-95,82,57,25,241.8,40.4,82.2,0.491,6,15.9,0.376,34.4,66.3,0.519,23.7,31.3,0.758,13,28.5,41.5,25.8,11.2,4.8,15.8,25.2,110.4
San Antonio Spurs,1994-95,82,62,20,242.1,39.5,81.5,0.484,5.3,14.1,0.375,34.2,67.4,0.507,22.4,30.3,0.738,12.5,32.5,45,23.4,8,5.6,15.2,22.8,106.6
Utah Jazz,1994-95,82,60,22,241.2,39.5,77.3,0.512,3.7,9.8,0.376,35.9,67.5,0.531,23.6,30.3,0.781,10.7,29.4,40.1,27.5,9.2,4.8,15.7,24.9,106.4
Golden State Warriors,1994-95,82,26,56,242.7,39.2,83.8,0.468,6.7,19.5,0.341,32.6,64.3,0.507,20.6,29.2,0.704,13.4,28.9,42.3,24.6,7.9,4.8,18.3,22,105.7
Los Angeles Lakers,1994-95,82,48,34,242.7,40,86.4,0.463,6.4,18.2,0.352,33.6,68.2,0.493,18.6,25.3,0.735,13.7,28.2,42,25.3,9.1,6.9,15.2,23.6,105.1
Houston Rockets,1994-95,82,47,35,240.6,38.5,80.2,0.48,7.9,21.4,0.368,30.6,58.8,0.521,18.6,24.9,0.749,10.7,29.8,40.5,25.1,8.8,6.3,16.1,20.9,103.5
Dallas Mavericks,1994-95,82,36,46,243,39.4,89.5,0.44,4.7,14.6,0.322,34.6,74.9,0.463,19.8,27,0.734,18.5,29.7,48.1,23.7,7.1,4.2,16.4,22.1,103.2
Portland Trail Blazers,1994-95,82,44,38,240.3,39.2,87,0.451,5.6,15.4,0.365,33.6,71.6,0.469,19,27.2,0.697,16.5,29.8,46.3,22.5,8.1,5.7,14.8,24.7,103.1
Boston Celtics,1994-95,82,35,47,241.5,38.8,83.5,0.464,4.4,12,0.368,34.4,71.5,0.48,20.8,27.7,0.753,14.1,28.3,42.4,21.7,7.5,4.4,15.9,24.1,102.8
Chicago Bulls,1994-95,82,47,35,241.8,38.9,81.8,0.476,5.4,14.5,0.373,33.5,67.4,0.498,18.3,25.2,0.726,13.5,28,41.5,24,9.7,4.3,15.8,23.9,101.5
Denver Nuggets,1994-95,82,41,41,243.7,37.8,78.8,0.479,5,14.1,0.356,32.7,64.6,0.507,20.7,28.1,0.738,12.7,29.3,42,22.4,8,7.1,16.8,25.2,101.3
Miami Heat,1994-95,82,32,50,241.5,38.3,82.2,0.467,5.3,14.4,0.369,33,67.8,0.487,19.1,26,0.736,13.3,27.7,41,21.7,8.1,3.6,15.7,24.4,101.1
